formula_name,category,client,process_type,phase_name,phase_temp,ingredient_name,percentage,notes
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Water Phase","75-80°C","Aqua (Water)","60.5",""
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Water Phase","75-80°C","Glycerin","3","Humectant"
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Oil Phase","75-80°C","Cetearyl Alcohol","4",""
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Oil Phase","75-80°C","Cetearyl Olivate (and) Sorbitan Olivate","7",""
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Oil Phase","75-80°C","Caprylic/Capric Triglyceride","5.5",""
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Actives","Below 40°C","Niacinamide","5","Anti-aging active"
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Actives","Below 40°C","Hyaluronic Acid","1",""
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","Preservative System","40°C","Phenoxyethanol","1",""
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","pH Adjustment","Room temp","Citric Acid","0.5","Adjust to pH 5.5"
"Anti-Aging Face Cream","cream","Mythos Men LTD","Hot Process (Emulsion)","pH Adjustment","Room temp","Sodium Hydroxide (10%)","0.5","Adjust to pH 5.5"
"Gentle Foaming Cleanser","serum","","Cold Process","Water Phase","Room temp","Aqua (Water)","55","Base"
"Gentle Foaming Cleanser","serum","","Cold Process","Water Phase","Room temp","Sodium Cocoyl Isethionate","20","Primary surfactant"
"Gentle Foaming Cleanser","serum","","Cold Process","Actives","Room temp","Panthenol","0.5","Conditioning"
"Gentle Foaming Cleanser","serum","","Cold Process","Preservative System","Room temp","Phenoxyethanol","1",""
